y,x,high_y,low_y
0.5857320316158232,15-19,0.723846986934211,0.4607670879226544
0.5622881280915174,20-24,0.6766571720113761,0.44808913892350727
0.5475356684337258,25-29,0.6500251827013537,0.443449518854605
0.5328109630364616,30-34,0.6358867274492863,0.43485859170752095
0.5164131394896576,35-39,0.6189544475501839,0.42268716667894496
0.499260460966809,40-44,0.598917558254395,0.4004490794002439
0.4780318863296978,45-49,0.5779696732104788,0.3757198275097279
0.4604758385410129,50-54,0.5606696028661512,0.36364314909609374
0.44126034246388723,55-59,0.5493800034943233,0.3427320933116721
0.4156294925010232,60-64,0.5315916443680744,0.3026240810975211
0.40084228021492807,65-69,0.5279644114658847,0.29134264120341413
0.3867347740545398,70-74,0.5251747197388905,0.2725416408628051
0.37066344464179124,75-79,0.5249160436268415,0.22961551637508118
0.3497698361785841,80+,0.5260332309499516,0.1877344765733445
